"Dimension","SideLength","TrueK","SuccessRate","EstimatedK"
2,10,2,1,2
2,9,2,1,2
2,8,2,1,2
2,7,2,1,2
2,6,2,1,2
2,5,2,1,2
2,4,2,1,2
2,3,2,1,2
2,2,2,1,2
2,1,2,0,1
3,10,3,1,3
3,9,3,1,3
3,8,3,1,3
3,7,3,1,3
3,6,3,1,3
3,5,3,1,3
3,4,3,1,3
3,3,3,1,3
3,2,3,0,1
3,1,3,0,1
4,10,4,1,4
4,9,4,1,4
4,8,4,1,4
4,7,4,1,4
4,6,4,1,4
4,5,4,1,4
4,4,4,1,4
4,3,4,0,1
4,2,4,0,1
4,1,4,0,1
5,10,5,1,5
5,9,5,1,5
5,8,5,1,5
5,7,5,1,5
5,6,5,1,5
5,5,5,1,5
5,4,5,1,5
5,3,5,0,1
5,2,5,0,1
5,1,5,0,1
6,10,6,1,6
6,9,6,1,6
6,8,6,1,6
6,7,6,1,6
6,6,6,1,6
6,5,6,1,6
6,4,6,1,6
6,3,6,0,1
6,2,6,0,1
6,1,6,0,1
